City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,machhlishahr,25.6833,82.4167,85.95,28,44,7.05,IN,1623258144
238,saint peters,38.8003,-90.6265,83.25,72,48,4.0,US,1623258042
239,scarborough,54.2797,-0.4044,74.79,62,14,1.99,GB,1623258000
240,rodrigues alves,-7.738,-72.6509,82.6,53,93,3.44,BR,1623257833
241,praia,14.9215,-23.5087,86.54,54,20,9.22,CV,1623258145
242,margate,51.3813,1.3862,78.66,62,9,10.36,GB,1623258145
243,boa vista,2.8197,-60.6733,84.18,65,75,6.91,BR,1623257692
244,yantongshan,43.2919,126.0094,65.03,78,100,4.76,CN,1623258145
245,casper,42.8666,-106.3131,77.72,25,0,1.99,US,1623258008
246,hit,33.6416,42.8251,91.94,12,0,9.22,IQ,1623258145
247,severo-kurilsk,50.6789,156.125,42.87,93,27,6.71,RU,1623257790
248,marrakesh,31.6315,-8.0083,104.07,17,75,4.61,MA,1623258011
249,waingapu,-9.6567,120.2641,73.76,85,27,7.49,ID,1623257812
250,nome,64.5011,-165.4064,43.11,94,100,4.61,US,1623258146
251,saint-pierre,-21.3393,55.4781,71.28,72,20,12.66,RE,1623257759
252,the valley,18.217,-63.0578,84.81,79,100,17.9,AI,1623258146
253,kiama,-34.6833,150.8667,41.38,84,20,6.44,AU,1623258147
254,bang saphan,11.2126,99.5117,76.41,90,100,8.41,TH,1623258147
255,ivanivka,46.7208,34.553,68.54,69,100,5.88,UA,1623258147
256,somvarpet,12.6,75.8667,66.36,93,94,5.44,IN,1623258148
257,kihei,20.785,-156.4656,77.85,80,21,9.4,US,1623258091
258,opuwo,-18.0607,13.84,68.05,22,0,5.28,NA,1623257773
259,kavieng,-2.5744,150.7967,81.91,80,100,11.77,PG,1623257773
260,at-bashi,41.1702,75.8106,55.47,71,5,3.49,KG,1623258148
261,gogrial,8.5332,28.1004,86.09,45,52,4.25,SS,1623258149
262,basco,20.4487,121.9702,82.63,80,93,16.98,PH,1623258149
263,inyonga,-6.7167,32.0667,71.2,52,35,4.56,TZ,1623258149
264,pauini,-7.7136,-66.9764,91.81,48,81,1.66,BR,1623258149
265,liepaja,56.5419,21.0367,67.98,64,6,3.44,LV,1623258150
266,kota,25.1833,75.8333,100.78,29,76,16.89,IN,1623258150
267,muyezerskiy,63.9333,31.65,68.77,33,10,4.05,RU,1623258150
268,taunggyi,20.7833,97.0333,64.18,98,100,3.2,MM,1623258151
269,kismayo,-0.3582,42.5454,78.98,80,21,14.38,SO,1623258151
270,miri,4.4148,114.0089,79.29,81,93,4.16,MY,1623258151
271,santa cruz,-17.8,-63.1667,71.65,78,75,2.3,BO,1623257825
272,niigata,37.9022,139.0236,59.92,83,0,3.06,JP,1623258018
273,panguma,8.1833,-11.1333,80.26,83,98,3.09,SL,1623258152
274,kieta,-6.2167,155.6333,79.57,83,100,3.78,PG,1623258152
275,kysyl-syr,63.8986,122.7617,40.69,58,1,3.27,RU,1623258152
276,vestmannaeyjar,63.4427,-20.2734,49.19,93,75,9.22,IS,1623257748
